mass,RT,mass.r,formula
a,b,d,e
644.3451,8.46,644.345,C38 H44 N8 O2
428.2041,2.43,428.204,C17 H35 Cl3 N6
352.1897,8.48,352.19,C18 H15 N3 O5
257.9313,1,257.931,#N/A
279.1669,2.46,279.167,279.167@2.4519627
270.1295,2.38,270.13,C14 H22 O3 S
268.08,1.45,268.08,C10 H12 N4 O5
376.1724,2.43,376.172,C16 H24 N8 O S
763.3825,9.07,763.383,> limit nullnullnull 9.08035
284.2707,0.71,284.271,284.2783@5.929998
359.2024,3.2,359.202,C19 H34 Cl N O S
409.235,8.47,409.235,C26 H35 N O S
368.1886,8.07,368.189,C18 H34 Cl2 O3
446.282,8.19,446.282,446.2848@8.197155
506.3231,6.67,506.323,C25 H50 N2 O4 S2
1428.7135,8.47,1428.714,1428.7059@8.432
267.0978,1.44,267.098,C11 H9 N9
224.0245,0.96,224.025,C5 H8 N2 O8
357.8948,1.02,357.895,C11 H4 Cl2 N4 S3
226.1249,8.47,226.125,C12 H19 Cl N2
335.1955,8.09,335.196,C10 H27 N9 O2 S
335.1957,3.52,335.196,C10 H27 N9 O2 S
471.2775,8.46,471.278,C21 H46 Cl N3 O6
601.5597,0.92,601.56,C16 H22 Cl3 N9 O8 S
784.4453,8.07,784.445,> limit nullnullnull 8.075037
376.2418,5.06,376.242,C15 H32 N6 O5
535.39,1.01,535.39,C22 H52 Cl N11 O2
358.3471,1.01,358.347,C12 Cl3 N O4 S
366.2,8.07,366.2,#N/A
163.0842,4.14,163.084,C6 H13 N O4
528.262,3.07,528.262,#N/A
321.1816,3.23,321.182,C13 H27 N3 O6
503.3383,8.08,503.338,C23 H36 Cl N9 O2
1552.8519,8.06,1552.852,> limit nullnullnull 8.0535
648.3454,8.07,648.345,#N/A
468.9858,1.1,468.986,468.9889@1.1070001
468.2343,3.11,468.234,C21 H36 N6 O2 S2
978.6514,8.07,978.651,#N/A
155.0077,0.86,155.008,C3 H9 N O2 S2
480.9433,4.3,480.943,C27 H3 N3 O S3
339.1887,2.4,339.189,#N/A
128.1202,7.99,128.12,C8 H16 O
240.1385,8.22,240.139,C13 H20 O4
839.7988,3.19,839.799,> limit null 3.190875
517.7353,0.96,517.735,<none> nullnullnull 0.9530391
278.249,8.07,278.249,C16 H30 N4
342.2883,5.26,342.288,C19 H38 N2 O3
519.3279,8.47,519.328,C27 H45 N5 O3 S
296.132,2.35,296.132,C10 H21 Cl N4 O4
210.0852,0.86,210.085,C12 H10 N4
636.3849,8.46,636.385,C40 H50 N2 O5
214.0836,1.08,214.084,C6 H10 N6 O3
236.1524,2.25,236.152,C13 H20 N2 O2
281.2696,7.65,281.27,C18 H35 N O
474.4201,1.09,474.42,#N/A
273.1581,2.4,273.158,C14 H27 N S2
486.3532,7.32,486.353,C27 H46 N6 S
520.3455,8.07,520.346,520.3446@8.074528
323.9488,1.17,323.949,C12 H17 Cl O8
404.251,8.07,404.251,404.251@8.072101
200.1033,2.16,200.103,#N/A
533.0461,4.32,533.046,C21 H25 Cl2 N3 O3 S3
313.7725,0.92,313.773,<none> nullnullnull 0.90962
1704.9419,8.46,1704.942,> limit nullnullnull 8.464587
764.1537,9.06,764.154,764.1542@9.05973
708.4571,8.47,708.457,708.4546@8.465037
85.0895,1.13,85.09,#N/A
382.2866,0.97,382.287,C14 H38 N8 O2 S
536.3445,8.08,536.345,536.3427@8.087624
779.5635,8.58,779.564,779.5636@8.575576
346.1665,8.48,346.167,Tolazamide
437.791,0.96,437.791,C7 H Cl3 N4 O4 S4
716.9439,3.19,716.944,<none> null 3.1956427
216.0978,8.11,216.098,C14 H16 S
596.3333,8.07,596.333,596.336@8.063819
907.4922,3.82,907.492,> limit nullnullnull 4.2793517
172.0717,1.46,172.072,C4 H8 N6 O2
586.4623,8.47,586.462,C26 H52 N16
358.1949,8.48,358.195,C13 H30 N2 O9
425.2476,8.46,425.248,C13 H27 N15 O2
530.3804,7.28,530.38,#N/A
292.1131,1.05,292.113,C14 H32 N2 O2 S
338.1449,3.02,338.145,#N/A
519.3392,8.08,519.339,C18 H39 N11 O3 S2
291.9873,1.03,291.987,C15 H10 Cl2 S
256.13,2.36,256.13,#N/A
410.2032,2.3,410.203,#N/A
452.2556,8.08,452.256,452.258@8.076907
163.9226,1.08,163.923,#N/A
525.4195,7.27,525.42,#N/A
99.1047,1.52,99.105,#N/A
457.2957,8.46,457.296,457.2922@8.45476
324.0212,4.33,324.021,C16 H8 N2 O4 S
538.3067,8.16,538.307,C23 H47 Cl N6 O6
391.3658,8.14,391.366,C18 H45 N7 O2
377.2241,8.48,377.224,#N/A
907.4942,4.11,907.494,> limit nullnullnull 4.2793517
923.4962,4.09,923.496,> limit nullnullnull 4.1529126
410.2277,8.24,410.228,#N/A
327.3136,7.85,327.314,C20 H41 N O2
434.2589,8.08,434.259,C12 H34 N8 O9
624.3393,8.47,624.339,#N/A
480.7181,3.2,480.718,#N/A
1320.6959,8.47,1320.696,> limit nullnullnull 8.486889
1018.6918,8.47,1018.692,> limit nullnullnull 8.466674
362.1469,1.05,362.147,C10 H28 Cl2 N8 S
432.2139,8.47,432.214,432.2103@8.313
628.3394,8.2,628.339,C24 H52 N8 O9 S
398.9408,3.21,398.941,C12 H9 N5 O S5
302.1319,1.06,302.132,C10 H18 N6 O5
288.182,1.17,288.182,C12 H25 Cl N6
569.4479,7.22,569.448,C34 H59 N5 S
293.986,1.09,293.986,C19 H6 N2 O2
648.3912,8.12,648.391,C34 H66 O3 S4
1650.8522,8.2,1650.852,> limit nullnullnull 8.134565
519.731,0.97,519.731,519.7368@0.9636667
452.3329,2.29,452.333,C27 H48 O3 S
604.1384,3.19,604.138,C16 H36 N4 O14 S3
198.0506,1.6,198.051,#N/A
382.2035,8.07,382.204,C18 H29 Cl N4 O3
458.2726,2.05,458.273,C25 H38 N4 O2 S
416.2126,8.16,416.213,C18 H33 Cl N6 O S
193.1105,1.41,193.111,Butyl 4-aminobenzoate
545.3562,8.48,545.356,C26 H38 N14
1602.8337,8.06,1602.834,> limit nullnullnull 8.079876
166.0465,6.29,166.047,C6 H14 O5
397.2304,2.51,397.23,C18 H39 N O4 S2
365.9723,1.21,365.972,C13 H12 Cl2 O6 S
2012.8,4.62,2012.8,#N/A
1728.9371,8.06,1728.937,> limit nullnullnull 8.069375
224.0058,1.12,224.006,224.006@1.1082287
193.0786,2.24,193.079,#N/A
461.2849,8.47,461.285,C24 H39 N5 O2 S
604.3759,8.08,604.376,C24 H27 N7 O6 S3
283.0917,1.44,283.092,C10 H13 N5 O5
365.1754,5.94,365.175,365.1728@5.8789997
612.3364,8.13,612.336,C46 H44 O
1254.609,8.46,1254.609,1254.6097@8.446
306.9162,1.3,306.916,306.9156@1.28086
154.0998,8.47,154.1,C9 H14 O2
331.8344,0.96,331.834,C6 H16 Cl2 N8 O2 S
521.588,8.16,521.588,<none> nullnullnull 8.4104395
376.2256,8.47,376.226,376.2262@8.070092
440.3491,8.08,440.349,#N/A
550.3453,6.65,550.345,C31 H54 N2 S3
164.046,1.05,164.046,C9 H8 O3
492.2589,8.47,492.259,C14 H38 Cl2 N12 O3
268.0734,2.81,268.073,C7 H16 N4 O5 S
257.8546,1.03,257.855,C5 H3 Cl S5
381.229,8.48,381.229,#N/A
350.1983,8.07,350.198,C15 H31 Cl N4 O S
414.036,6.77,414.036,C21 H16 Cl2 N2 O S
307.9605,1.04,307.961,C11 H20 N2 O8
280.1245,1.07,280.125,C20 H14 N2
473.3017,8.45,473.302,473.3025@8.4648485
231.1482,2.94,231.148,C12 H17 N5
274.103,1.46,274.103,C9 H18 N6 S2
2012.4145,4.62,2012.415,#N/A
502.3831,8.47,502.383,C22 H50 N10 O S
387.2518,8.47,387.252,C21 H38 Cl N O3
368.144,1.06,368.144,C15 H22 N4 O7
1617.9662,8.47,1617.966,> limit nullnullnull 8.4705105
564.9241,8.22,564.924,C23 H3 N O15 S
998.5311,8.11,998.531,#N/A
156.9956,1.42,156.996,156.9953@1.3789998
1428.7067,8.06,1428.707,1428.7059@8.432
318.1293,1.7,318.129,C11 H22 N6 O S2
132.0866,1.04,132.087,<none> nullnullnull 1.0552
304.1615,8.47,304.162,C9 H21 Cl N10
328.135,1.46,328.135,C17 H28 S3
177.101,1.97,177.101,#N/A
692.4507,8.51,692.451,692.4509@8.499622
544.3852,7.55,544.385,C36 H68 N2 O
333.179,3.1,333.179,C15 H27 N O7
224.0284,0.96,224.028,C5 H8 N2 O8
454.235,8.08,454.235,C27 H36 O4 S
101.0263,0.86,101.026,101.0235@0.729
506.4573,8.47,506.457,<none> nullnullnull 8.460959
286.2145,8.07,286.215,C15 H34 N4 O
271.9391,1.02,271.939,#N/A
1362.7047,8.47,1362.705,#N/A
535.3499,8.08,535.35,#N/A
535.3684,1.02,535.368,C23 H47 N13 O2
401.2693,8.08,401.269,C24 H36 Cl N3
340.1673,8.49,340.167,C13 H29 Cl N4 O2 S
367.2841,5.92,367.284,367.2837@5.89543
407.2661,8.09,407.266,C19 H42 Cl N5 S
907.4926,4.16,907.493,> limit nullnullnull 4.2793517
240.2773,1.1,240.277,<none> nullnullnull 1.0976923
594.3732,6.6,594.373,C30 H62 N2 O S4
356.1669,8.07,356.167,356.1658@8.4238
370.0946,7.47,370.095,C15 H22 N4 O S3
2012.2033,4.61,2012.203,#N/A
322.1773,8.48,322.177,322.1713@4.397326
683.1971,9.22,683.197,C38 H33 N7 S3
454.0335,2.83,454.034,454.0327@2.812333
255.0792,0.85,255.079,#N/A
848.5205,8.49,848.521,> limit nullnullnull 8.141
912.4538,4.24,912.454,> limit nullnullnull 4.223079
353.9089,0.87,353.909,#N/A
423.454,1.01,423.454,423.4541@0.8710001
254.1099,1.06,254.11,#N/A
596.3418,8.48,596.342,596.3436@8.412108
438.2358,8.11,438.236,438.2345@8.112426
449.7503,0.96,449.75,<none> nullnullnull 0.9487501
1853.7493,4.27,1853.749,> limit nullnullnull 4.2632294
204.1372,3.52,204.137,C11 H16 N4
254.1862,4.14,254.186,C16 H30 S
410.245,7.24,410.245,C20 H39 Cl O6
301.8212,0.95,301.821,C3 H4 Cl2 O6 S3
114.0685,8.47,114.069,C6 H10 O2
1026.7606,8.47,1026.761,> limit nullnullnull 8.466818
658.5196,8.47,658.52,#N/A
312.8302,1.1,312.83,<none> nullnullnull 1.0794706
972.7117,8.47,972.712,> limit nullnullnull 8.464869
370.3188,6.36,370.319,C17 H38 N8 O
210.0885,2.8,210.089,C12 H10 N4
267.9534,1.01,267.953,267.9537@0.99351174
672.3811,7.23,672.381,672.3811@7.2093105
535.2683,1.01,535.268,C27 H29 N13
413.2256,2.52,413.226,C13 H35 N9 O2 S2
260.1037,3.56,260.104,#N/A
461.7691,0.97,461.769,#N/A
186.0899,8.47,186.09,#N/A
482.26,7.13,482.26,482.2601@7.123809
270.2141,6.01,270.214,<none> nullnullnull 5.9928074
2140.89,2.15,2140.89,> limit null 2.147076
374.1448,1.07,374.145,C15 H18 N8 O4
397.2347,8.47,397.235,C18 H39 N O4 S2
479.9831,1.02,479.983,C15 H12 O16 S
272.0709,1.44,272.071,C10 H12 N2 O7
2140.6375,2.15,2140.638,> limit null 2.145635
566.3244,8.15,566.324,C18 H47 Cl N10 O8
360.1881,8.47,360.188,C21 H28 O5
1392.8559,8.07,1392.856,> limit nullnullnull 8.076084
426.2288,8.13,426.229,<none> nullnullnull 8.14706
435.8636,0.99,435.864,C18 H8 N6 O2 S3
419.2904,8.47,419.29,419.2993@8.094576
279.8407,0.95,279.841,C5 H3 Cl3 O S3
381.7531,0.95,381.753,<none> nullnullnull 0.9392401
334.0057,4.32,334.006,#N/A
2012.0053,4.61,2012.005,#N/A
166.0525,2.8,166.053,C5 H11 Cl N2 O2
407.2174,3.07,407.217,#N/A
537.9017,3.21,537.902,C18 H3 Cl N2 O14 S
847.8025,3.2,847.803,> limit null 3.1925578
357.2409,8.09,357.241,#N/A
2140.3906,2.15,2140.391,> limit null 2.1482966
339.9925,4.32,339.993,C11 H16 O4 S4
642.3466,8.17,642.347,C30 H54 N6 O3 S3
559.4104,8.21,559.41,C36 H53 N3 O2
659.5131,0.92,659.513,<none> nullnullnull 0.91168
535.333,8.47,535.333,535.333@8.464892
2012.6137,4.62,2012.614,#N/A
329.9915,1.01,329.992,C17 H2 N2 O6
181.0661,1.03,181.066,C8 H11 N3 S
401.2646,8.47,401.265,C24 H36 Cl N3
403.2525,8.48,403.253,C27 H33 N O2
1254.61,8.06,1254.61,1254.6097@8.446
462.3009,6.7,462.301,#N/A
367.218,8.47,367.218,C20 H33 N O3 S
1615.4634,8.85,1615.463,> limit nullnullnull 8.873666
526.2757,7.09,526.276,526.278@7.079421
500.3699,7.65,500.37,C35 H48 O2
613.472,7.19,613.472,C36 H71 N S3
507.7114,0.96,507.711,#N/A
646.4505,9.62,646.451,C37 H58 N8 S
481.3905,7.31,481.391,C25 H51 N7 S
429.6904,0.92,429.69,<none> nullnullnull 0.9134001
229.9084,1.33,229.908,#N/A
524.2977,8.22,524.298,524.2978@8.109862
270.1381,2.35,270.138,C16 H18 N2 O2
378.2043,7.82,378.204,C23 H26 N2 O3
512.2578,2.58,512.258,C33 H37 Cl N2 O
249.8992,0.9,249.899,C8 H Cl3 O3
532.2797,8.22,532.28,532.2797@8.216728
312.7703,1.09,312.77,<none> nullnullnull 1.0997777
432.2488,8.07,432.249,C21 H32 N6 O4
270.033,1.07,270.033,C6 H10 N2 O10
401.8137,0.97,401.814,C6 H4 Cl2 O8 S4
789.4233,0.92,789.423,> limit nullnullnull 0.9141764
128.1204,0.85,128.12,C8 H16 O
307.9032,3.19,307.903,C8 H Cl O9 S
226.0802,1.07,226.08,C15 H14 S
371.2512,8.08,371.251,C10 H28 Cl N9 O4
428.3098,8.08,428.31,C24 H52 N4 O2
1064.5503,8.47,1064.55,> limit nullnullnull 8.452072
926.1504,4.28,926.15,> limit nullnullnull 4.325
164.1406,8,164.141,<none> nullnullnull 7.986455
2141.1373,2.15,2141.137,> limit null 2.1475098
530.2715,7.09,530.272,530.2727@7.037998
296.2346,5.31,296.235,C14 H28 N6 O
421.2649,8.09,421.265,C12 H16 Cl3 N O S4
540.3862,1.01,540.386,540.3854@1.0159999
412.216,8.47,412.216,C12 H32 N10 O2 S2
1668.8738,8.47,1668.874,> limit nullnullnull 8.462702
1536.8101,8.47,1536.81,> limit nullnullnull 8.454955
433.8614,1.02,433.861,C11 H2 N2 O9 S4
1958.8474,4.27,1958.847,> limit nullnullnull 4.268511
417.2631,8.47,417.263,417.2607@8.465189
449.297,8.12,449.297,449.2948@8.463277
433.6859,0.91,433.686,<none> nullnullnull 0.9084286
939.5174,4.39,939.517,> limit null 4.385462
216.0973,1.94,216.097,C14 H16 S
469.524,1.09,469.524,<none> null 1.0956666
947.3091,0.92,947.309,> limit nullnullnull 0.91133326
85.986,0.86,85.986,#N/A
1072.6741,8.47,1072.674,> limit nullnullnull 8.467185
168.1585,0.82,168.159,#N/A
899.7605,3.2,899.761,> limit null 3.1900687
491.3481,8.08,491.348,C19 H41 Cl2 N3 O5 S
476.2339,8.15,476.234,C26 H36 O8
273.9127,1.02,273.913,C7 H5 Cl3 O S2
301.9105,4.28,301.911,C13 Cl2 N2 O S
536.3459,8.23,536.346,536.3427@8.087624
599.5593,0.92,599.559,#N/A
275.9427,1,275.943,#N/A
390.1988,3.2,390.199,C17 H30 N2 O8
319.1969,3.14,319.197,#N/A
1098.7203,8.07,1098.72,> limit nullnullnull 8.073334
466.2631,8.09,466.263,466.2615@8.14474
638.3977,6.57,638.398,638.397@6.562489
370.3062,8.14,370.306,C18 H38 N6 O2
198.05,1.33,198.05,#N/A
317.9614,0.98,317.961,C7 H8 Cl2 N2 O8
1090.7156,8.07,1090.716,> limit nullnullnull 8.0646
172.0716,1.02,172.072,C4 H8 N6 O2
279.1613,2.15,279.161,279.167@2.4519627
198.922,3.19,198.922,C6 H N O S3
516.3633,6.98,516.363,516.3624@6.958
371.7308,0.92,371.731,<none> nullnullnull 0.9132896
558.4104,8.08,558.41,#N/A
435.9468,2.09,435.947,C12 H12 N4 O4 S5
576.3215,8.24,576.322,C40 H17 Cl O3
578.3753,8.12,578.375,C30 H58 O4 S3
644.5037,8.47,644.504,C29 H64 N12 O2 S
929.8892,1.02,929.889,#N/A
268.2409,5.88,268.241,C17 H32 O2
241.279,3.27,241.279,#N/A
270.9108,0.85,270.911,C6 H6 Cl N O S4
447.7515,0.96,447.752,<none> nullnullnull 0.95084304
316.352,1.08,316.352,<none> nullnullnull 1.0900526
336.1601,2.87,336.16,#N/A
574.124,2.29,574.124,C22 H30 N4 O8 S3
1696.0962,8.47,1696.096,> limit nullnullnull 8.464101
1569.9635,8.21,1569.964,> limit nullnullnull 8.227116
726.5029,3.2,726.503,726.5074@3.2039995
539.4281,7.56,539.428,C30 H58 Cl N5 O
391.9639,4.31,391.964,391.9635@4.313401
1128.8161,8.23,1128.816,> limit nullnullnull 8.223976
708.5039,9.07,708.504,708.5037@9.0605545
466.0965,8.61,466.097,C23 H22 N4 O S3
448.2932,8.07,448.293,448.2955@8.073978
117.0797,1.04,117.08,C5 H11 N O2
1056.5219,2.34,1056.522,#N/A
454.3249,8.08,454.325,454.326@8.075419
444.4696,4.32,444.47,<none> nullnullnull 4.309356
194.1185,8.49,194.119,C8 H19 Cl N2 O
361.1431,3.21,361.143,361.1416@3.0824163
289.1495,2.18,289.15,C14 H19 N5 O2
614.4752,8.12,614.475,C39 H66 O S2
721.5158,3.21,721.516,721.5175@3.1930006
477.7407,0.95,477.741,#N/A
408.2328,8.24,408.233,C18 H37 Cl N4 O2 S
368.0057,5.44,368.006,C24 H4 N2 O S
517.3406,8.07,517.341,C23 H41 N11 O3
398.2047,8.09,398.205,398.2061@8.072358
494.2949,8.13,494.295,494.2978@8.14225
563.8798,1.03,563.88,#N/A
170.0944,8.47,170.094,C9 H14 O3
397.9134,1.03,397.913,#N/A
1704.9487,8.05,1704.949,> limit nullnullnull 8.464587
456.341,7.74,456.341,C17 H45 Cl N10 O2
436.1991,2.5,436.199,C18 H36 N4 O2 S3
319.9598,0.98,319.96,C16 O8
394.2187,8.48,394.219,394.2118@8.460834
306.0365,1.01,306.037,C11 H18 N2 S4
646.4024,8.5,646.402,#N/A
390.2364,8.49,390.236,C16 H34 N6 O3 S
472.2435,8.22,472.244,C25 H42 Cl2 N2 S
532.2728,7.28,532.273,532.2797@8.216728
602.4777,8.46,602.478,C40 H62 N2 O2
409.2324,2.43,409.232,C26 H35 N O S
457.7745,0.97,457.775,C12 H Cl3 O5 S4
648.3496,8.11,648.35,#N/A
1521.9754,8.46,1521.975,#N/A
1239.7094,8.46,1239.709,1239.7107@8.351
551.7842,0.99,551.784,C15 H2 Cl2 N2 O7 S5
682.4211,6.55,682.421,C33 H62 N8 O S3
459.3013,8.46,459.301,C12 H38 Cl N15 O2
1693.0834,8.47,1693.083,> limit nullnullnull 8.483998
784.5295,9.07,784.53,> limit nullnullnull 9.059333
657.499,7.16,657.499,C41 H71 N O S2
601.3825,8.09,601.383,C29 H41 N13 O2
339.1978,8.08,339.198,C25 H25 N
158.0942,8.47,158.094,C8 H14 O3
566.2801,7.07,566.28,566.2817@7.06811
148.0175,6,148.018,#N/A
142.1096,0.8,142.11,C7 H14 N2 O
662.7175,9.07,662.718,C15 H3 Cl2 N3 O13 S5
636.4396,7.19,636.44,#N/A
365.8132,0.99,365.813,C8 H5 Cl3 S5
204.0885,1.57,204.089,#N/A
462.169,5.95,462.169,462.1639@7.5281563
662.9785,9.06,662.979,#N/A
254.9571,1.21,254.957,#N/A
393.794,1.4,393.794,393.79@0.94949996
712.5452,8.49,712.545,C39 H54 O8 S2
266.0138,1.07,266.014,C8 H11 Cl N2 O4 S
222.0602,6.3,222.06,<none> nullnullnull 6.919
1257.8789,8.06,1257.879,1257.8672@8.066
265.8428,0.95,265.843,#N/A
228.0033,1.02,228.003,C4 H8 N2 O7 S
333.8322,0.96,333.832,C10 H3 Cl O S5
267.0982,1.02,267.098,C11 H9 N9
467.8936,0.87,467.894,C32 H Cl O S
791.5385,0.95,791.539,> limit nullnullnull 0.951
397.2326,8.1,397.233,C18 H39 N O4 S2
307.1647,2.15,307.165,C14 H21 N5 O3
321.9997,0.99,322,321.9937@1.0926666
370.0954,7.52,370.095,C15 H22 N4 O S3
326.1769,8.1,326.177,C17 H26 O6
262.0013,0.96,262.001,C6 H6 N4 O6 S
191.1307,3.85,191.131,C12 H17 N O
317.1856,3.07,317.186,#N/A
387.2481,2,387.248,C18 H37 N5 S2
266.0368,2.24,266.037,C11 H10 N2 O4 S
393.0422,4.32,393.042,C22 H8 Cl N5 O
265.2368,8.47,265.237,#N/A
1012.6778,8.46,1012.678,> limit nullnullnull 8.440944
982.6225,8.44,982.623,#N/A
354.0584,2.29,354.058,C16 H18 O5 S2
235.0003,1.22,235,C9 H6 Cl N5 O
702.5475,8.48,702.548,C41 H81 Cl O2 S2
413.237,8.47,413.237,413.2359@8.448557
628.5012,8.47,628.501,C29 H40 Cl2 N10 O2
423.7714,0.98,423.771,#N/A
495.4043,7.6,495.404,C28 H54 Cl N5
212.0644,1.46,212.064,C6 H8 N6 O3
419.2984,8.1,419.298,419.2993@8.094576
608.3298,8.07,608.33,#N/A
616.5573,2.53,616.557,#N/A
475.3164,8.24,475.316,475.3187@8.073858
1248.6327,8.06,1248.633,1248.6337@8.061
482.3723,3.21,482.372,#N/A
106.9934,1.37,106.993,106.9935@1.4379998
322.1706,8.09,322.171,322.1713@4.397326
167.0614,1.05,167.061,#N/A
199.9672,1.03,199.967,C14 S
464.4167,8.1,464.417,464.4169@8.091702
526.2842,8.22,526.284,526.2825@8.212869
221.8721,0.95,221.872,#N/A
399.8176,0.96,399.818,C7 H6 Cl2 O5 S5
131.0696,0.97,131.07,C4 H9 N3 O2
156.0794,8.47,156.079,C8 H12 O3
218.1961,0.96,218.196,C7 H22 N8
334.074,0.86,334.074,C9 H19 Cl N2 O9
778.5945,2.15,778.595,> limit null 2.1474407
392.2028,1.04,392.203,#N/A
224.0113,2.8,224.011,C5 H9 Cl N4 O2 S
328.0026,1.01,328.003,C16 H9 Cl N2 O2 S
721.2913,3.21,721.291,721.2911@3.2070005
618.3362,9.17,618.336,C34 H54 N2 O2 S3
778.7798,2.15,778.78,#N/A
432.2526,8.48,432.253,432.2526@8.4678955
603.8103,0.87,603.81,603.8122@0.8796586
452.2193,3.1,452.219,#N/A
718.7531,3.21,718.753,C45 H94 N6
273.9675,0.86,273.968,C15 H2 N2 S2
182.0933,8.49,182.093,#N/A
240.0976,1.06,240.098,C19 H12
316.1851,2.98,316.185,#N/A
1360.8311,8.48,1360.831,> limit nullnullnull 8.479069
273.8765,0.96,273.877,C5 H3 Cl O7 S2
431.2746,2.03,431.275,C19 H37 N5 O6
306.2539,0.94,306.254,#N/A
570.3103,7.02,570.31,570.3102@7.022691
515.7266,0.97,515.727,<none> nullnullnull 0.962909
458.2414,8.07,458.241,C22 H30 N6 O5
378.0779,6.01,378.078,C19 H22 O2 S3
182.0537,1.05,182.054,#N/A
277.9107,0.88,277.911,277.9113@0.87647724
304.0668,3.19,304.067,304.0662@3.2179997
487.646,0.92,487.646,<none> nullnullnull 0.91220003
394.0166,1.4,394.017,394.0165@1.44
1552.8378,8.06,1552.838,> limit nullnullnull 8.0535
322.1693,4.4,322.169,322.1699@8.058833
406.1865,2,406.187,C20 H38 S4
522.3196,8.11,522.32,#N/A
117.9674,1.01,117.967,117.9673@1.0369998
1064.6919,8.47,1064.692,#N/A
772.3534,9.63,772.353,> limit nullnullnull 9.622034
1018.7174,8.47,1018.717,> limit nullnullnull 8.469685
207.8859,0.96,207.886,C4 O2 S4
964.5227,8.17,964.523,> limit nullnullnull 8.168111
348.0148,1.05,348.015,C12 H13 Cl N2 O6 S
418.1945,3.25,418.195,C14 H35 Cl N6 O2 S2
1120.7069,8.47,1120.707,#N/A
277.9488,3.21,277.949,#N/A
354.1579,1.06,354.158,C20 H22 N2 O4
1712.9041,2.14,1712.904,> limit null 2.1485426
784.4028,4.28,784.403,> limit null 4.271059
297.0892,1.75,297.089,C11 H15 N5 O3 S
222.0871,1.07,222.087,C13 H10 N4
722.405,3.2,722.405,C30 H64 Cl2 N6 O9
270.0327,0.97,270.033,C6 H10 N2 O10
310.1493,3.11,310.149,#N/A
226.193,4.71,226.193,C10 H22 N6
1191.7068,8.47,1191.707,1191.7094@8.447
948.4856,8.07,948.486,> limit nullnullnull 8.0802
218.9652,8.44,218.965,C6 H5 N O4 S2
403.2654,8.48,403.265,C25 H5 Cl O2 S
305.1835,2.84,305.184,#N/A
778.6822,2.15,778.682,> limit null 2.151355
298.2571,6.37,298.257,#N/A
252.2332,8.12,252.233,<none> nullnullnull 8.059755
432.2109,8.17,432.211,432.2103@8.313
1712.5086,2.15,1712.509,> limit null 2.150053
336.126,1.07,336.126,<none> nullnullnull 1.0657142
442.0243,6.26,442.024,C27 H10 N2 O S2
501.741,0.98,501.741,#N/A
348.1757,1.03,348.176,C20 H28 O3 S
1818.9647,8.07,1818.965,> limit nullnullnull 7.944422
574.4052,7.23,574.405,C31 H62 N2 O S3
475.8086,1.01,475.809,C10 H3 Cl3 N4 O4 S4 nullnullnull 1.018125
411.2447,8.1,411.245,C15 H29 N11 O3
164.0012,0.98,164.001,C6 H9 Cl O S
528.4325,5.99,528.433,C26 H56 N8 O S
770.5032,8.47,770.503,770.5005@8.477703
373.7295,0.92,373.73,<none> nullnullnull 0.897375
346.166,8.48,346.166,Tolazamide
1712.7126,2.15,1712.713,> limit null 2.1521251
1690.0867,8.47,1690.087,> limit nullnullnull 8.472
259.9231,0.88,259.923,C10 H6 Cl2 S2
269.9558,0.87,269.956,C14 H3 Cl O2 S
129.1518,1.44,129.152,#N/A
474.3116,1.02,474.312,C25 H50 N2 S3
588.4195,7.53,588.42,#N/A
472.2324,3.29,472.232,C15 H36 N16 S
495.3135,8.08,495.314,#N/A
242.1126,1.06,242.113,C16 H18 S
1308.7581,8.06,1308.758,> limit nullnullnull 8.455299
728.4113,8.47,728.411,C42 H62 Cl2 N2 O4
1662.9061,8.06,1662.906,> limit nullnullnull 8.059541
986.6396,8.07,986.64,> limit nullnullnull 8.071444
312.1558,3.12,312.156,#N/A
224.2014,7.51,224.201,#N/A
465.2922,8.17,465.292,#N/A
778.5092,2.15,778.509,> limit null 2.1439998
321.8187,0.95,321.819,C9 Cl2 O S4
364.0999,1.02,364.1,C11 H20 N6 O4 S2
172.0714,1.92,172.071,C4 H8 N6 O2
441.7207,0.94,441.721,<none> nullnullnull 0.9334318
304.0085,1.44,304.009,C15 H4 N4 O2 S
360.0449,1.16,360.045,C24 H9 Cl N2
1272.783,8.47,1272.783,1272.7994@8.596
2853.8543,2.15,2853.854,> limit null 2.1479135
1746.9962,8.21,1746.996,#N/A
382.1794,2.31,382.179,382.1725@2.202
342.2875,5.07,342.288,C19 H38 N2 O3
834.1848,3.21,834.185,> limit null 3.19925
387.7055,0.92,387.706,<none> nullnullnull 0.923 :3
1470.7501,8.47,1470.75,1470.7583@8.445
386.1868,1.06,386.187,C19 H34 N2 S3
2853.5089,2.15,2853.509,> limit null 2.15
175.0074,0.88,175.007,#N/A
1707.9882,8.47,1707.988,> limit nullnullnull 8.464547
249.0431,2.83,249.043,249.0439@2.8016112
704.5535,2.52,704.554,<none> nullnullnull 2.5087333
356.1697,8.46,356.17,356.1658@8.4238
153.0512,1.02,153.051,<none> nullnullnull 0.9717222
272.1593,2.9,272.159,C18 H24 S
330.7051,1.49,330.705,<none> nullnullnull 1.4950001
278.2486,1.44,278.249,C16 H30 N4
543.318,8.48,543.318,C27 H55 Cl2 N O S2
362.2156,6.7,362.216,C18 H35 Cl N2 O S
